bird,AR,Cd,Cl,ClCd
falcon,3.983,1875.51,19234.356,10.25
warbler,1.442,738.1211,536.962,0.727
peregrine,3.85,214.15,2699.45,12.61
thrush,2.19,745.12,4865,6.53
albatross,1.246,42.43,674.24,15.896
goose,4,133.1,2133,16.13
puffin,3.53,11698.53,11640,9.95
swift,2.425,10391,52259,5.029
swan,3.874,2438.16,12218.98,5.011559
falcon,4.002,2042.179,30749.82,15.057361
albatross,6.28,168.32,2209.98,13.129
duck,2.04,159.91,138.18,0.864
albatross,2.19,1002.945678,17292.28109,17.2414932
thrush,6,616.5307701,6403.278105,10.38598301
auk,5.6314,3038.457,23230.81,7.534
swift,5.2632,1344.839,11636.37,8.653
condor,1.4208,584.883,3075.604,5.771
pheasant,0.9191,261.325,194.409,0.744
swift,5.37,14227.89,2855.095,0.2008197
duck,3.71,9724.619,1951.728,0.2006997
puffin,2.1,291.392,1151.424,3.95
falcon,1.6,108.92,951.01,8.73
swift,4.31,0.1748,3.048,17.44
gull,3.6,0.219,1.04,4.94
thrush,4.02,0.3107,1.1847,4.753
duck,3.025,0.21854,0.0729,3
falcon,2.76,0.11,1.139,10.41
falcon,3.784559519,0.333127265,4.110150385,12.33807863
warbler,1.980862666,0.453497853,1.158222553,2.553975826
albatross,5.32,0.664,9.29,13.99
goose,2.36,0.212,1.1,5.159
thrush,2.23,0.0158,0.0269,1.702531646
duck,4.377858,5728.45,1148.832,0.2005485
albatross,5.962733,7901.137,1588.201,0.2010091
